unix date,volume,fees
"1629244800","177918298.65007216","533754.8959502165"
"1629158400","216359568.94888937","649078.7068466682"
"1629072000","133340824.51294462","400022.47353883384"
"1628985600","148291724.10549858","444875.17231649574"
"1628899200","98020901.97566219","294062.7059269866"
"1628812800","139370061.18534008","418110.18355602026"
"1628726400","226110087.96537822","678330.2638961347"
"1628640000","132741508.6672252","398224.5260016756"
"1628553600","185919798.2223363","557759.3946670089"
"1628467200","407772043.4825365","1223316.1304476096"
"1628380800","220474533.39860383","661423.6001958115"
"1628294400","339362418.38681275","1018087.2551604382"
"1628208000","170017260.3129226","510051.7809387678"
"1628121600","230546480.0664462","691639.4401993386"
"1628035200","178267519.35644212","534802.5580693263"
"1627948800","182447476.36893734","547342.4291068121"
"1627862400","145342166.71740356","436026.50015221065"
"1627776000","145390462.4007103","436171.387202131"
"1627689600","69445285.26811151","208335.85580433454"
"1627603200","100418922.53700908","301256.76761102723"
"1627516800","66424323.16092355","199272.96948277063"
"1627430400","130468225.38995716","391404.67616987147"
"1627344000","151822504.58240694","455467.5137472208"
"1627257600","232200042.88143224","696600.1286442967"
"1627171200","57578073.843658485","172734.22153097545"
"1627084800","80048856.6233254","240146.5698699762"
"1626998400","78913948.76518132","236741.84629554395"
"1626912000","121703919.16076873","365111.7574823062"
"1626825600","171075001.18772942","513225.00356318825"
"1626739200","92376455.6131284","277129.3668393852"
"1626652800","55571115.87114411","166713.34761343233"
"1626566400","63352415.11841621","190057.24535524865"
"1626480000","75182008.8572873","225546.0265718619"
"1626393600","77221364.06430322","231664.09219290962"
"1626307200","110738605.79399242","332215.8173819773"
"1626220800","94342007.79216753","283026.02337650256"
"1626134400","97558554.21503708","292675.6626451112"
"1626048000","80878460.47594775","242635.38142784324"
"1625961600","58866903.60770826","176600.71082312477"
"1625875200","170931719.72193444","512795.1591658033"
"1625788800","117559234.9517203","352677.7048551609"
"1625702400","165506124.86431104","496518.3745929331"
"1625616000","95515969.82612021","286547.9094783606"
"1625529600","146127303.62590757","438381.9108777228"
